playlist name: Love, playlist score 18.348146
playlist name: Party, playlist score 18.274446
playlist name: summer 16', playlist score 18.265482
playlist name: Today's Hits, playlist score 18.224445
playlist name: good playlist, playlist score 18.20484
playlist name: texas, playlist score 18.204714
playlist name: 2015, playlist score 18.189138
playlist name: Main, playlist score 18.163015
playlist name: Slow Stuff, playlist score 18.102947
playlist name: 80's, playlist score 18.099115
playlist name: I workout!, playlist score 18.097767
playlist name: Workout, playlist score 18.093044
playlist name: Best of 2016, playlist score 18.033236
playlist name: 2015 Summer, playlist score 17.80929
playlist name: Dancing in the Moonlight, playlist score 17.787264
playlist name: feel good, playlist score 17.784548
playlist name: workout, playlist score 17.716503
playlist name: chill bro, playlist score 17.711552
playlist name: summer, playlist score 17.616785
playlist name: tb, playlist score 17.592299
playlist name: Just Chillin', playlist score 17.578259
playlist name: Relaxing , playlist score 17.550554
playlist name: <3, playlist score 17.479239
playlist name: REPEAT , playlist score 17.478256
playlist name: old, playlist score 17.452887
playlist name: GET DOWN, playlist score 17.428484
playlist name: work playlist, playlist score 17.410141
playlist name: bump, playlist score 17.373716
playlist name: yo, playlist score 17.365847
playlist name: mashup, playlist score 17.315323
playlist name: sing along, playlist score 17.303196
playlist name: Christmas :) , playlist score 17.239023
playlist name: Party Rock!!, playlist score 17.2386
playlist name: Pop Hits, playlist score 17.238188
playlist name: relax, playlist score 17.199139
playlist name: Christmas Party, playlist score 17.185946
playlist name: Party, playlist score 17.15403
playlist name: w o r k o u t, playlist score 17.13947
playlist name: welcome back, playlist score 17.060133
playlist name: bounce, playlist score 17.01318
playlist name: Electro , playlist score 16.997654
playlist name: Rap, playlist score 16.960625
playlist name: Oldies, playlist score 16.924936
playlist name: mb, playlist score 16.877886
playlist name: oldies, playlist score 16.828077
playlist name: Music, playlist score 16.816423
playlist name: Say My Name, playlist score 16.8158
playlist name: Country, playlist score 16.8024
playlist name: pregame, playlist score 16.800842
playlist name: throwbacks , playlist score 16.779562
playlist name: goodies, playlist score 16.771938
playlist name: pole, playlist score 16.762571
playlist name: PARTAYY, playlist score 16.725441
playlist name: Replay, playlist score 16.70393
playlist name: vibin, playlist score 16.67645
playlist name: Stuff, playlist score 16.660694
playlist name: Running, playlist score 16.60282
playlist name: Classics, playlist score 16.592781
playlist name: Hungover, playlist score 16.587425
playlist name: Boda, playlist score 16.55987
playlist name: new, playlist score 16.539913
playlist name: throwback, playlist score 16.474232
playlist name: Texas Country, playlist score 16.433456
playlist name: Adri, playlist score 16.420954
playlist name: smooth jams, playlist score 16.387705
playlist name: 2020, playlist score 16.38021
playlist name: BBG, playlist score 16.360909
playlist name: Old School R&B, playlist score 16.34997
playlist name: 2015, playlist score 16.336052
playlist name: oldies but goodies, playlist score 16.284956
playlist name: Classic Country, playlist score 16.27771
playlist name: Noosa Tastiest Playlist, playlist score 16.207596
playlist name: HER, playlist score 16.202745
playlist name: fav songs , playlist score 16.176575
playlist name: Music, playlist score 16.168537
playlist name: throwback, playlist score 16.153852
playlist name: Partayyyy, playlist score 16.08582
playlist name: wedding, playlist score 16.084446
playlist name: Slow Jams, playlist score 16.034376
playlist name: throwback bops, playlist score 16.027206
playlist name: Classics, playlist score 15.994975
playlist name: Pole, playlist score 15.974951
playlist name: 2016, playlist score 15.958348
playlist name: Love <3, playlist score 15.950475
